IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.23.115.213,4,4,0.00,82.82,5.33
104.24.233.0,4,4,0.00,83.52,5.33
104.23.124.217,4,4,0.00,82.17,5.33
141.101.120.177,4,4,0.00,83.61,5.23
104.23.108.60,4,4,0.00,83.76,5.18
162.159.48.186,4,4,0.00,82.51,5.12
104.27.16.81,4,4,0.00,82.93,5.10
162.159.44.191,4,4,0.00,74.13,5.01
104.23.100.191,4,4,0.00,83.84,4.95
104.23.142.220,4,4,0.00,83.03,4.89
162.159.138.218,4,4,0.00,82.87,4.89
104.24.6.173,4,4,0.00,82.69,4.86
162.159.7.58,4,4,0.00,83.42,4.85
104.24.15.62,4,4,0.00,83.27,4.84
104.21.30.103,4,4,0.00,83.35,4.80
162.159.32.128,4,4,0.00,83.18,4.75
104.21.26.222,4,4,0.00,84.13,4.73
104.23.112.23,4,4,0.00,79.78,4.64
104.21.19.158,4,4,0.00,83.61,4.62
104.22.4.212,4,4,0.00,83.57,4.60
104.24.199.172,4,4,0.00,82.43,4.58
104.21.0.157,4,4,0.00,83.14,4.58
162.159.249.234,4,4,0.00,80.98,4.57
108.162.195.55,4,4,0.00,83.61,4.57
104.23.99.89,4,4,0.00,79.89,4.53
162.159.12.170,4,4,0.00,83.35,4.50
172.64.34.107,4,4,0.00,84.06,4.50
104.24.13.67,4,4,0.00,82.18,4.43
172.64.84.230,4,4,0.00,81.62,4.43
104.24.191.16,4,4,0.00,84.15,4.41
162.159.58.92,4,4,0.00,79.77,4.31
104.24.3.191,4,4,0.00,84.09,4.27
104.24.85.43,4,4,0.00,84.38,4.26
104.23.140.84,4,4,0.00,84.10,4.11
162.159.236.226,4,4,0.00,81.11,3.80
104.23.130.144,4,4,0.00,83.28,3.75
104.25.19.244,4,4,0.00,84.51,3.73
141.101.121.4,4,4,0.00,84.41,3.72
162.159.25.195,4,4,0.00,84.04,3.71
162.159.45.188,4,4,0.00,76.26,3.70
104.23.111.117,4,4,0.00,81.07,3.53
141.101.122.92,4,4,0.00,84.45,3.53
